,airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
0,Aer Lingus,320906734,2,0.0,0,0.0,0,0.0
1,Aeroflot*,1197672318,76,14.0,128,six,1,88.0
2,Aerolineas Argentinas,385803648,6,0.0,0,1.0,0,0.0
3,Aeromexico*,596871813,3,1.0,64,5.0,0,0.0
4,Air Canada,1865253802,2,0.0,0,2.0,0,0.0
5,Air France,3004002661,14,4.0,79,6.0,2,337.0
6,Air India*,869253552,2,1.0,329,4.0,1,158.0
7,Air New Zealand*,710174817,3,0.0,0,5.0,1,7.0
8,Alaska Airlines*,965346773,5,zero,0,5.0,1,88.0
9,Alitalia,698012498,7,2.0,50,4.0,0,0.0
10,All Nippon Airways,1841234177,3,,1,7.0,0,0.0
11,American*,5228357340,21,5.0,101,17.0,3,416.0
12,Austrian Airlines,358239823,1,0.0,0,1.0,0,0.0
13,Avianca,396922563,5,3.0,323,0.0,0,0.0
14,British Airways*,3179760952,4,0.0,0,6.0,0,0.0
15,Cathay Pacific*,2582459303,0,0.0,0,2.0,0,0.0
16,China Airlines,813216487,12,6.0,535,2.0,1,225.0
17,Condor,417982610,2,1.0,16,0.0,0,0.0
18,COPA,550491507,3,1.0,47,0.0,0,0.0
19,Delta / Northwest*,6525658894,24,12.0,407,24.0,2,51.0
20,Egyptair,557699891,8,3.0,282,4.0,1,14.0
21,El Al,335448023,1,1.0,4,1.0,0,0.0
22,Ethiopian Airlines,488560643,25,5.0,167,5.0,2,92.0
23,Finnair,506464950,1,0.0,0,0.0,0,0.0
24,Garuda Indonesia,613356665,10,3.0,260,4.0,2,22.0
25,Gulf Air,301379762,1,0.0,0,3.0,1,143.0
26,Hawaiian Airlines,493877795,0,0.0,0,1.0,0,0.0
27,Iberia,1173203126,4,1.0,148,5.0,0,0.0
28,Japan Airlines,1574217531,3,1.0,520,0.0,0,0.0
29,Kenya Airways,277414794,2,0.0,0,2.0,2,283.0
30,KLM*,1874561773,7,1.0,3,1.0,0,0.0
31,Korean Air,1734522605,12,5.0,425,1.0,0,
32,LAN Airlines,1001965891,3,2.0,21,0.0,0,
33,Lufthansa*,3426529504,6,1.0,2,3.0,0,
34,Malaysia Airlines,1039171244,3,1.0,34,3.0,2,
35,Pakistan International,348563137,8,3.0,234,10.0,2,46.0
36,Philippine Airlines,413007158,7,4.0,74,2.0,1,1.0
37,Qantas*,1917428984,1,0.0,0,5.0,0,0.0
38,Royal Air Maroc,295705339,5,3.0,51,3.0,0,0.0
39,SAS*,682971852,5,0.0,0,6.0,1,110.0
40,Saudi Arabian,859673901,7,2.0,313,,0,0.0
41,Singapore Airlines,2376857805,2,2.0,6,,1,83.0
42,South African,651502442,2,1.0,159,,0,0.0
43,Southwest Airlines,3276525770,1,0.0,0,,0,0.0
44,Sri Lankan / AirLanka,325582976,2,1.0,14,,0,0.0
45,SWISS*,792601299,2,1.0,229,,0,0.0
46,TACA,259373346,3,1.0,3,,1,3.0
47,TAM,1509195646,8,3.0,98,,2,188.0
48,TAP - Air Portugal,619130754,0,0.0,0,,0,0.0
49,Thai Airways,1702802250,8,4.0,308,,1,1.0
50,Turkish Airlines,1946098294,8,3.0,64,,2,84.0
51,United / Continental*,7139291291,19,8.0,319,,2,109.0
52,US Airways / America West*,2455687887,16,7.0,224,,2,23.0
53,Vietnam Airlines,625084918,7,3.0,171,,0,0.0
54,Virgin Atlantic,1005248585,1,0.0,0,,0,0.0
55,Xiamen Airlines,430462962,9,1.0,82,,0,0.0
