business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
10,TIRAMISU KITCHEN,033 BELDEN PL,San Francisco,CA,94104.0,37.791116,-122.403816,14154217044.0
19,NRGIZE LIFESTYLE CAFE,"1200 VAN NESS AVE, 3RD FLOOR",San Francisco,CA,94109.0,37.786848,-122.421547,14157763262.0
24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,"500 CALIFORNIA ST, 2ND  FLOOR",San Francisco,CA,94104.0,37.792888,-122.403135,14156779494.0
31,NORMAN'S ICE CREAM AND FREEZES,2801 LEAVENWORTH ST ,San Francisco,CA,94133.0,37.807155,-122.419004,
45,CHARLIE'S DELI CAFE,3202 FOLSOM ST ,San Francisco,CA,94110.0,37.747114,-122.413641,14156415051.0
48,ART'S CAFE,747 IRVING ST ,San Francisco,CA,94122.0,37.764013,-122.465749,14156657440.0
50,SUSHI ZONE,1815  MARKET ST. ,San Francisco,CA,94103.0,37.771437,-122.423892,14156211114.0
54,RHODA GOLDMAN PLAZA,2180 POST ST ,San Francisco,CA,94115.0,37.784626,-122.437734,14153455060.0
56,CAFE X + O,1799 CHURCH ST ,San Francisco,CA,94131.0,37.742325,-122.426476,14158263535.0
58,OASIS GRILL,91 DRUMM ST ,San Francisco,CA,94111.0,37.794483,-122.396584,14158341942.0
61,CHOWDERS,PIER 39  SPACE A3,San Francisco,CA,94133.0,37.80824,-122.410189,14153914737.0
66,STARBUCKS COFFEE,1800 IRVING ST ,San Francisco,CA,94122.0,37.763578,-122.477461,14152427970.0
67,REVOLUTION CAFE,3248 22ND ST ,San Francisco,CA,94110.0,37.755419,-122.419542,14156420474.0
71,KAPPA RESTAURANT,1700 POST ST K,San Francisco,CA,94115.0,37.785567,-122.430074,14156736004.0
73,DINO'S UNCLE VITO,2101 FILLMORE ST ,San Francisco,CA,94115.0,37.788932,-122.433895,14159224700.0
76,OMNI S.F. HOTEL - 3RD FLOOR PANTRY,"500 CALIFORNIA ST, 3RD FLOOR",San Francisco,CA,94104.0,37.792888,-122.403135,14156779494.0
77,OMNI S.F. HOTEL - EMPLOYEE CAFETERIA,"500 CALIFORNIA ST, BASEMENT",San Francisco,CA,94104.0,37.792888,-122.403135,14156779494.0
80,LAW SCHOOL CAFE,2199 FULTON ST ,San Francisco,CA,94117.0,37.774941,-122.452797,14154222268.0
81,CLUB ED/BON APPETIT,2350 TURK ST ,San Francisco,CA,94117.0,37.778468,-122.448484,14154225849.0
88,J.B.'S PLACE,1435 17TH ST ,San Francisco,CA,94107.0,37.765003,-122.398084,14155848446.0
95,VEGA,419 CORTLAND AVE ,San Francisco,CA,94110.0,37.739207,-122.417447,14152856000.0
98,XOX TRUFFLES,754 COLUMBUS AVE ,San Francisco,CA,94133.0,37.801665,-122.412104,14154214814.0
99,J & M A-1 CAFE RESTAURANT LLC,779 CLAY ST ,San Francisco,CA,94108.0,37.794293,-122.405967,14156057219.0
101,CABLE CAR CORNER,1099 POWELL ST ,San Francisco,CA,94108.0,37.794615,-122.409705,14153625925.0
102,AKIKO'S SUSHI BAR,542A MASON ST ,San Francisco,CA,94102.0,37.788484,-122.410045,14159898218.0
108,RUE LEPIC,900 PINE ST,San Francisco,CA,94108.0,37.790868,-122.410854,14154746070.0
116,THE WATERFRONT RESTAURANT,PIER 7 EMBARCADERO,San Francisco,CA,94111.0,37.793874,-122.396464,14153912696.0
121,AKIKOS SUSHI,431 BUSH ST ,San Francisco,CA,94108.0,37.790643,-122.404676,14153973218.0
125,CENTERFOLDS,391 BROADWAY ST ,San Francisco,CA,94133.0,37.798233,-122.403637,14158340662.0
126,BROADWAY DIM SUM,684 BROADWAY ST ,San Francisco,CA,94133.0,37.797708,-122.408413,14159892038.0
130,CAFFE MACARONI,59 COLUMBUS AVE ,San Francisco,CA,94111.0,37.796208,-122.404308,14159569737.0
132,SILVER STAR CAFE AND DELI,316 PACIFIC AVE ,San Francisco,CA,94111.0,37.797668,-122.401125,14157886123.0
134,MINT,400 MCALLISTER ST,San Francisco,CA,94102.0,37.780247,-122.418974,14155515942.0
140,CAFE MADELEINE,300 CALIFORNIA ST ,San Francisco,CA,94104.0,37.793268,-122.400323,14153623332.0
141,AFC SUSHI @ MOLLIE STONE'S 2,2435 CALIFORNIA ST ,San Francisco,CA,94115.0,37.788773,-122.434697,14155674902.0
146,DEJA VU PIZZA & PASTA,3227 16TH ST ,San Francisco,CA,94103.0,37.764713,-122.424709,14152551600.0
151,BUS STOP PIZZA #1,256 DIVISADERO ST ,San Francisco,CA,94117.0,37.771487,-122.437047,14156269119.0
155,CAFE COLE,609 COLE ST ,San Francisco,CA,94117.0,37.769303,-122.450724,14156687771.0
164,SAN FRANCISCO SOUP CO,"50 POST ST, 3RD FLOOR",San Francisco,CA,94104.0,37.789064,-122.402861,14155663871.0
178,C & Y CAFE,400 CALIFORNIA ST  3RD FLOOR,San Francisco,CA,94104.0,37.793128,-122.401395,14157652570.0
